관리번호,위도,경도,CCTV 수량,sido,자치구,행정동
세곡-228-00,37.4605,127.1032,1,11,강남구,세곡동
세곡-227-00,37.4605,127.1036,1,11,강남구,세곡동
세곡-229-00,37.4614,127.1017,4,11,강남구,세곡동
치수-114-2-00,37.4615,127.114,1,11,강남구,세곡동
세곡-226-00,37.4624,127.1043,1,11,강남구,세곡동
치수-116-3-00,37.4625,127.1071,1,11,강남구,세곡동
치수-116-1-00,37.4626,127.1066,1,11,강남구,세곡동
세곡-291-00,37.4626,127.1138,3,11,강남구,세곡동
세곡-285-00,37.4629,127.1068,4,11,강남구,세곡동
세곡-223-00,37.463,127.1053,3,11,강남구,세곡동
세곡-225-00,37.4631,127.1011,1,11,강남구,세곡동
세곡-114-00,37.4632,127.1037,1,11,강남구,세곡동
세곡-244-00,37.4633,127.1037,4,11,강남구,세곡동
세곡-269-00,37.4635,127.1015,4,11,강남구,세곡동
세곡-260-00,37.4635,127.1076,3,11,강남구,세곡동
세곡-406-00,37.4636,127.1064,3,11,강남구,세곡동
세곡-295-00,37.4637,127.1054,3,11,강남구,세곡동
세곡-234-00,37.4637,127.1058,4,11,강남구,세곡동
세곡-236-00,37.4639,127.1069,4,11,강남구,세곡동
치수-115-1-00,37.4642,127.1196,2,11,강남구,세곡동
세곡-221-00,37.4643,127.1072,4,11,강남구,세곡동
세곡-204-00,37.4645,127.1065,3,11,강남구,세곡동
세곡-116-00,37.4645,127.1066,1,11,강남구,세곡동
세곡-249-00,37.4647,127.0931,5,11,강남구,세곡동
세곡-257-00,37.4649,127.1038,4,11,강남구,세곡동
세곡-258-00,37.465,127.1014,4,11,강남구,세곡동
세곡-292-00,37.465,127.107,4,11,강남구,세곡동
세곡-201-00,37.4653,127.1097,4,11,강남구,세곡동
세곡-108-00,37.4654,127.1018,3,11,강남구,세곡동
세곡-254-00,37.4655,127.0949,5,11,강남구,세곡동
세곡-405-00,37.4656,127.1088,4,11,강남구,세곡동
세곡-243-00,37.4657,127.1093,5,11,강남구,세곡동
도로방범고정-01,37.4658,127.1086,1,11,강남구,세곡동
세곡-259-00,37.466,127.1006,4,11,강남구,세곡동
세곡-272-00,37.4663,127.0949,3,11,강남구,세곡동
세곡-407-00,37.4663,127.1097,4,11,강남구,세곡동
세곡-288-00,37.4666,127.0995,5,11,강남구,세곡동
세곡-202-00,37.4666,127.1089,3,11,강남구,세곡동
세곡-115-00,37.4667,127.0995,1,11,강남구,세곡동
세곡-290-00,37.4668,127.1089,3,11,강남구,세곡동
세곡-120-00,37.4669,127.0971,1,11,강남구,세곡동
세곡-248-00,37.4669,127.0972,5,11,강남구,세곡동
세곡-203-00,37.467,127.1098,3,11,강남구,세곡동
세곡-409-00,37.4671,127.1016,4,11,강남구,세곡동
세곡-231-00,37.4672,127.0945,5,11,강남구,세곡동
세곡-270-00,37.4672,127.0985,5,11,강남구,세곡동
치수-113-1-00,37.4672,127.1219,3,11,강남구,세곡동
세곡-235-00,37.4673,127.0977,5,11,강남구,세곡동
세곡-278-00,37.4674,127.1002,4,11,강남구,세곡동
세곡-284-00,37.4674,127.1093,4,11,강남구,세곡동
세곡-106-00,37.4677,127.1201,1,11,강남구,세곡동
세곡-296-00,37.4678,127.0932,4,11,강남구,세곡동
세곡-400-00,37.4682,127.0997,3,11,강남구,세곡동
세곡-207-00,37.4682,127.1003,3,11,강남구,세곡동
세곡-265-00,37.4683,127.0981,3,11,강남구,세곡동
세곡-253-00,37.4683,127.1023,4,11,강남구,세곡동
세곡-293-00,37.4684,127.0962,4,11,강남구,세곡동
세곡-294-00,37.4684,127.0987,4,11,강남구,세곡동
세곡-209-00,37.4687,127.1007,1,11,강남구,세곡동
세곡-104-00,37.4687,127.1199,1,11,강남구,세곡동
세곡-255-00,37.469,127.1041,4,11,강남구,세곡동
세곡-404-00,37.469,127.1046,3,11,강남구,세곡동
세곡-208-00,37.4691,127.1002,4,11,강남구,세곡동
세곡-109-00,37.4692,127.0917,5,11,강남구,세곡동
세곡-103-00,37.4693,127.1208,1,11,강남구,세곡동
세곡-280-00,37.4695,127.0909,3,11,강남구,세곡동
세곡-262-00,37.4696,127.089,3,11,강남구,세곡동
세곡-250-00,37.4696,127.0904,4,11,강남구,세곡동
세곡-102-00,37.4697,127.1182,1,11,강남구,세곡동
세곡-105-00,37.4699,127.1192,1,11,강남구,세곡동
세곡-403-00,37.47,127.1039,3,11,강남구,세곡동
세곡-299-00,37.4701,127.0921,1,11,강남구,세곡동
세곡-232-00,37.4701,127.1045,5,11,강남구,세곡동
세곡-289-00,37.4703,127.1033,4,11,강남구,세곡동
세곡-267-00,37.4703,127.1046,3,11,강남구,세곡동
세곡-211-00,37.4703,127.105,4,11,강남구,세곡동
세곡-111-00,37.4704,127.0899,1,11,강남구,세곡동
세곡-212-00,37.4705,127.1028,4,11,강남구,세곡동
세곡-279-00,37.4706,127.1096,1,11,강남구,세곡동
세곡-273-00,37.4708,127.0931,4,11,강남구,세곡동
세곡-233-00,37.4709,127.0922,5,11,강남구,세곡동
세곡-101-00,37.4709,127.1186,1,11,강남구,세곡동
세곡-266-00,37.4713,127.1082,4,11,강남구,세곡동
세곡-297-00,37.4716,127.095,3,11,강남구,세곡동
세곡-275-00,37.4716,127.1066,4,11,강남구,세곡동
세곡-113-00,37.4717,127.09,1,11,강남구,세곡동
세곡-286-00,37.4717,127.0913,3,11,강남구,세곡동
세곡-283-00,37.4717,127.0959,3,11,강남구,세곡동
세곡-118-00,37.4718,127.0962,1,11,강남구,세곡동
세곡-271-00,37.4718,127.1089,4,11,강남구,세곡동
세곡-245-00,37.4718,127.1095,3,11,강남구,세곡동
세곡-210-00,37.4719,127.1063,4,11,강남구,세곡동
개포4-224-00,37.472,127.051,1,11,강남구,개포4동
공원-101-00,37.4721,127.0526,1,11,강남구,개포4동
세곡-224-00,37.4721,127.1048,4,11,강남구,세곡동
치수-110-4-00,37.4722,127.118,1,11,강남구,세곡동
세곡-219-00,37.4723,127.1096,4,11,강남구,세곡동
치수-110-5-00,37.4723,127.1179,1,11,강남구,세곡동
치수-110-2-00,37.4724,127.1179,1,11,강남구,세곡동
치수-110-3-00,37.4724,127.118,1,11,강남구,세곡동
세곡-281-00,37.4725,127.0963,5,11,강남구,세곡동
치수-110-1-00,37.4725,127.1178,1,11,강남구,세곡동
세곡-298-00,37.4726,127.1012,1,11,강남구,세곡동
세곡-264-00,37.4727,127.1087,5,11,강남구,세곡동
개포4-225-00,37.4729,127.0514,4,11,강남구,개포4동
개포4-277-00,37.4729,127.0523,4,11,강남구,개포4동
세곡-287-00,37.4729,127.0991,5,11,강남구,세곡동
세곡-251-00,37.4729,127.1001,5,11,강남구,세곡동
개포4-203-00,37.473,127.0501,1,11,강남구,개포4동
세곡-110-00,37.473,127.1002,1,11,강남구,세곡동
세곡-218-00,37.4731,127.0967,1,11,강남구,세곡동
세곡-119-00,37.4731,127.103,1,11,강남구,세곡동
개포4-254-00,37.4732,127.0503,5,11,강남구,개포4동
개포4-253-00,37.4732,127.0533,3,11,강남구,개포4동
세곡-277-00,37.4732,127.103,4,11,강남구,세곡동
세곡-206-00,37.4732,127.1079,4,11,강남구,세곡동
개포4-204-00,37.4733,127.0522,4,11,강남구,개포4동
세곡-252-00,37.4733,127.0982,4,11,강남구,세곡동
개포4-264-00,37.4734,127.053,4,11,강남구,개포4동
세곡-268-00,37.4734,127.1082,3,11,강남구,세곡동
세곡-220-00,37.4735,127.1,5,11,강남구,세곡동
개포4-276-00,37.4737,127.0524,3,11,강남구,개포4동
세곡-237-00,37.4737,127.1084,4,11,강남구,세곡동
세곡-242-00,37.4737,127.1121,2,11,강남구,세곡동
