수량,관리번호,설치장소유형,도로명주소,지번주소,위도,경도,sido,자치구,행정동
1,세곡-228,가로변,,서울특별시 강남구 세곡동 525-1,37.46048,127.1031,11,강남구,세곡동
1,세곡-227,가로변,,서울특별시 강남구 세곡동 525-1,37.4605,127.1035,11,강남구,세곡동
1,세곡-229,가로변,,서울특별시 강남구 세곡동 243,37.46136,127.1017,11,강남구,세곡동
1,세곡-226,가로변,,서울특별시 강남구 세곡동 185,37.46242,127.1043,11,강남구,세곡동
1,세곡-411,가로변,,서울특별시 강남구 세곡동 509,37.46245,127.103,11,강남구,세곡동
1,세곡-412,가로변,,서울특별시 강남구 세곡동 509,37.46278,127.1057,11,강남구,세곡동
1,세곡-413,가로변,,서울특별시 강남구 세곡동 509,37.46286,127.102,11,강남구,세곡동
1,세곡-223,가로변,,서울특별시 강남구 세곡동 172-28,37.46303,127.1052,11,강남구,세곡동
1,세곡-225,가로변,,서울특별시 강남구 세곡동 258,37.46313,127.101,11,강남구,세곡동
1,세곡-427,가로변,,서울특별시 강남구 세곡동 54,37.46321,127.1168,11,강남구,세곡동
1,세곡-269,가로변,,서울특별시 강남구 세곡동 522-1,37.46345,127.1015,11,강남구,세곡동
1,세곡-260,가로변,,서울특별시 강남구 세곡동 164-10,37.46348,127.1075,11,강남구,세곡동
1,세곡-244,가로변,서울특별시 강남구 헌릉로590길 11,서울특별시 강남구 세곡동 516,37.46352,127.1035,11,강남구,세곡동
1,세곡-234,가로변,서울특별시 강남구 밤고개로34길 23,서울특별시 강남구 세곡동 171-17,37.46365,127.1058,11,강남구,세곡동
1,세곡-236,가로변,,서울특별시 강남구 세곡동 129-13,37.46388,127.1069,11,강남구,세곡동
1,세곡-410,가로변,,서울특별시 강남구 세곡동 509,37.4639,127.1015,11,강남구,세곡동
1,공원-145,가로변,,서울특별시 강남구 세곡동 산 54,37.46402,127.0999,11,강남구,세곡동
1,세곡-221,가로변,,서울특별시 강남구 세곡동 128-2,37.46431,127.1072,11,강남구,세곡동
1,세곡-116,가로변,,서울특별시 강남구 세곡동 122-1,37.46445,127.1064,11,강남구,세곡동
1,세곡-249,가로변,서울특별시 강남구 자곡로 21,서울특별시 강남구 세곡동 533,37.46472,127.093,11,강남구,세곡동
1,세곡-424,가로변,서울특별시 강남구 헌릉로 654,서울특별시 강남구 세곡동 74-7,37.46483,127.1112,11,강남구,세곡동
1,세곡-292,가로변,,서울특별시 강남구 세곡동 120-7,37.46503,127.107,11,강남구,세곡동
1,세곡-201,가로변,,서울특별시 강남구 세곡동 96-19,37.46526,127.1097,11,강남구,세곡동
1,세곡-405,가로변,서울특별시 강남구 헌릉로637길 12,서울특별시 강남구 세곡동 102-30,37.46563,127.1088,11,강남구,세곡동
1,세곡-243,가로변,서울특별시 강남구 헌릉로645길 17,서울특별시 강남구 세곡동 102-17,37.46569,127.1092,11,강남구,세곡동
1,세곡-407,가로변,서울특별시 강남구 헌릉로645길 20,서울특별시 강남구 세곡동 107-3,37.46631,127.1097,11,강남구,세곡동
1,세곡-288,가로변,,서울특별시 강남구 세곡동 592,37.46662,127.0994,11,강남구,세곡동
1,세곡-202,가로변,서울특별시 강남구 헌릉로637길 36,서울특별시 강남구 세곡동 113,37.46663,127.1088,11,강남구,세곡동
1,세곡-414,가로변,서울특별시 강남구 헌릉로571길 20,서울특별시 강남구 세곡동 579,37.4667,127.1018,11,강남구,세곡동
1,세곡-290,가로변,,서울특별시 강남구 세곡동 113,37.46682,127.1088,11,강남구,세곡동
1,세곡-248,가로변,,서울특별시 강남구 세곡동 623,37.46685,127.0971,11,강남구,세곡동
1,세곡-203,가로변,서울특별시 강남구 헌릉로645길 31,서울특별시 강남구 세곡동 108-9,37.46699,127.1097,11,강남구,세곡동
1,세곡-126,가로변,서울특별시 강남구 헌릉로569길 18,서울특별시 강남구 세곡동 623,37.46712,127.0993,11,강남구,세곡동
1,세곡-409,가로변,,서울특별시 강남구 세곡동 578,37.46714,127.1016,11,강남구,세곡동
1,공원-174,가로변,,서울특별시 강남구 세곡동 546,37.46718,127.0971,11,강남구,세곡동
1,세곡-231,가로변,,서울특별시 강남구 세곡동 461-10,37.4672,127.0945,11,강남구,세곡동
1,세곡-270,가로변,,서울특별시 강남구 세곡동 548,37.4672,127.0984,11,강남구,세곡동
1,세곡-235,가로변,서울특별시 강남구 헌릉로571길 66-1,서울특별시 강남구 세곡동 421-2,37.4673,127.0977,11,강남구,세곡동
1,세곡-278,가로변,서울특별시 강남구 헌릉로571길 23-15,서울특별시 강남구 세곡동 572,37.46736,127.1001,11,강남구,세곡동
1,세곡-121,가로변,서울특별시 강남구 헌릉로571길 43,서울특별시 강남구 세곡동 552,37.4677,127.1001,11,강남구,세곡동
1,세곡-296,가로변,,서울특별시 강남구 세곡동 533,37.46782,127.0931,11,강남구,세곡동
1,공원-175,가로변,,서울특별시 강남구 세곡동 369-3,37.46812,127.1004,11,강남구,세곡동
1,세곡-400,가로변,,서울특별시 강남구 수서동 490-17,37.4682,127.0997,11,강남구,세곡동
1,세곡-207,가로변,,서울특별시 강남구 세곡동 369-3,37.46826,127.1001,11,강남구,세곡동
1,세곡-253,가로변,,서울특별시 강남구 세곡동 345,37.46833,127.1023,11,강남구,세곡동
1,세곡-293,가로변,서울특별시 강남구 헌릉로569길 52-13,서울특별시 강남구 세곡동 442-2,37.46838,127.0961,11,강남구,세곡동
1,세곡-209,가로변,서울특별시 강남구 헌릉로571길 34-15,서울특별시 강남구 세곡동 367-1,37.46872,127.1007,11,강남구,세곡동
1,세곡-404,가로변,,서울특별시 강남구 율현동 335,37.46896,127.1046,11,강남구,세곡동
1,세곡-208,가로변,서울특별시 강남구 헌릉로571길 46-20,서울특별시 강남구 세곡동 365-2,37.46908,127.1001,11,강남구,세곡동
1,세곡-246,가로변,,서울특별시 강남구 세곡동 464-9,37.4692,127.0918,11,강남구,세곡동
1,공원-166,가로변,,서울특별시 강남구 자곡동 627,37.4693,127.0927,11,강남구,세곡동
1,세곡-280,가로변,,서울특별시 강남구 자곡동 624,37.46953,127.0909,11,강남구,세곡동
1,세곡-250,가로변,,서울특별시 강남구 자곡동 625,37.4696,127.0903,11,강남구,세곡동
1,세곡-262,가로변,,서울특별시 강남구 자곡동 625,37.46963,127.0889,11,강남구,세곡동
1,공원-121,가로변,,서울특별시 강남구 세곡동 산 50-15,37.46982,127.0932,11,강남구,세곡동
1,세곡-232,가로변,,서울특별시 강남구 율현동 308-29,37.47008,127.1045,11,강남구,세곡동
1,세곡-267,가로변,,서울특별시 강남구 율현동 308-29,37.47029,127.1046,11,강남구,세곡동
1,세곡-211,가로변,,서울특별시 강남구 율현동 313,37.47032,127.105,11,강남구,세곡동
1,세곡-212,가로변,서울특별시 강남구 밤고개로24길 84-20,서울특별시 강남구 율현동 322-15,37.47046,127.1027,11,강남구,세곡동
1,공원-120,가로변,,서울특별시 강남구 자곡동 690,37.47074,127.0935,11,강남구,세곡동
1,세곡-233,가로변,,서울특별시 강남구 자곡동 566-6,37.47089,127.0921,11,강남구,세곡동
1,공원-122,가로변,,서울특별시 강남구 자곡동 690,37.47122,127.0958,11,강남구,세곡동
1,공원-160,가로변,,서울특별시 강남구 자곡동 615,37.4713,127.0938,11,강남구,세곡동
1,세곡-416,가로변,서울특별시 강남구 밤고개로24길 54-12,서울특별시 강남구 율현동 306-1,37.4713,127.1049,11,강남구,세곡동
1,세곡-266,가로변,서울특별시 강남구 밤고개로27길 7-5,서울특별시 강남구 율현동 225-3,37.47133,127.1081,11,강남구,세곡동
1,세곡-297,가로변,,서울특별시 강남구 자곡동 633,37.47163,127.095,11,강남구,세곡동
